iter	Passed	Remaining
0	2	2327
1	4	2340
2	7	2436
3	9	2310
4	10	2178
5	12	2062
6	13	1955
7	15	1884
8	16	1802
9	29	2916
10	30	2756
11	31	2624
12	33	2508
13	34	2410
14	35	2325
15	36	2253
16	37	2191
17	39	2164
18	44	2317
19	59	2938
20	61	2854
21	75	3346
22	75	3227
23	77	3133
24	78	3047
25	79	2966
26	90	3277
27	92	3196
28	93	3119
29	94	3047
30	95	2979
31	96	2914
32	97	2853
33	98	2795
34	99	2742
35	100	2690
36	101	2643
37	102	2597
38	103	2557
39	104	2517
40	121	2839
41	122	2805
42	124	2768
43	125	2728
44	136	2890
45	137	2850
46	138	2811
47	139	2772
48	140	2734
49	150	2868
50	166	3090
51	167	3046
52	181	3240
53	197	3453
54	198	3405
55	199	3358
56	200	3313
57	212	3458
58	213	3412
59	215	3368
60	216	3325
61	217	3284
62	218	3244
63	219	3205
64	220	3168
65	221	3132
66	221	3090
67	228	3130
68	229	3096
69	230	3064
70	243	3187
71	258	3334
72	259	3299
73	260	3265
74	262	3232
75	262	3196
76	263	3164
77	265	3133
78	266	3104
79	267	3079
80	268	3051
81	270	3024
82	271	2999
83	274	2992
84	276	2971
85	277	2946
86	278	2922
87	279	2899
88	281	2876
89	281	2849
90	289	2892
91	290	2869
92	291	2847
93	293	2825
94	294	2804
95	304	2871
96	306	2850
97	307	2829
98	308	2809
99	309	2788
100	311	2768
101	312	2749
102	313	2730
103	314	2710
104	316	2693
105	317	2675
106	318	2657
107	335	2768
108	336	2747
109	337	2727
110	338	2708
111	339	2690
112	340	2672
113	341	2655
114	343	2640
115	344	2626
116	346	2612
117	347	2597
118	348	2582
119	350	2569
120	364	2650
121	365	2633
122	367	2616
123	367	2597
124	368	2580
125	369	2564
126	370	2548
127	371	2533
128	372	2518
129	374	2503
130	375	2488
131	376	2473
132	376	2456
133	377	2441
134	395	2533
135	396	2520
136	397	2506
137	399	2493
138	400	2479
139	401	2466
140	402	2453
141	403	2440
142	404	2423
143	405	2410
144	406	2398
145	407	2386
146	410	2380
147	412	2371
148	413	2360
149	414	2348
150	415	2337
151	416	2325
152	417	2313
153	419	2301
154	426	2323
155	427	2312
156	428	2301
157	429	2289
158	441	2335
159	442	2324
160	443	2312
161	445	2302
162	446	2291
163	447	2280
164	457	2315
165	458	2304
166	473	2360
167	474	2349
168	475	2338
169	488	2384
170	489	2373
171	490	2362
172	492	2352
173	493	2342
174	494	2331
175	495	2320
176	496	2310
177	497	2299
178	498	2288
179	500	2278
180	501	2267
181	502	2257
182	503	2247
183	518	2300
184	519	2290
185	521	2280
186	522	2269
187	522	2257
188	523	2247
189	524	2237
190	526	2228
191	526	2217
192	534	2234
193	535	2224
194	536	2215
195	550	2257
196	551	2248
197	552	2238
198	553	2229
199	555	2221
200	556	2212
201	558	2204
202	559	2196
203	560	2186
204	561	2177
205	562	2168
206	563	2158
207	564	2149
208	565	2141
209	566	2132
210	567	2123
211	568	2114
212	570	2106
213	579	2126
214	580	2118
215	581	2109
216	595	2148
217	611	2193
218	627	2237
219	628	2228
220	629	2219
221	630	2210
222	631	2201
223	643	2227
224	659	2270
225	674	2309
226	675	2300
227	676	2290
228	677	2282
229	688	2306
230	690	2298
231	691	2290
232	692	2280
233	693	2270
234	694	2262
235	703	2277
236	704	2268
237	705	2260
238	707	2251
239	708	2243
240	709	2234
241	710	2226
242	712	2218
243	713	2209
244	714	2201
245	718	2202
246	719	2194
247	721	2187
248	722	2179
249	723	2171
250	725	2163
251	732	2175
252	734	2167
253	747	2196
254	749	2188
255	750	2180
256	751	2172
257	752	2164
258	753	2156
259	754	2148
260	755	2140
261	757	2132
262	758	2124
263	759	2116
264	760	2108
265	761	2100
266	762	2093
267	763	2085
268	778	2115
269	779	2107
270	780	2100
271	781	2092
272	793	2113
273	794	2104
274	795	2096
275	808	2119
276	809	2112
277	810	2104
278	811	2097
279	812	2089
280	813	2081
281	814	2074
282	823	2085
283	824	2077
284	825	2070
285	838	2093
286	839	2086
287	853	2110
288	854	2102
289	869	2128
290	884	2155
291	886	2148
292	887	2141
293	889	2135
294	890	2128
295	891	2121
296	893	2114
297	894	2107
298	895	2100
299	897	2093
300	898	2086
301	899	2079
302	900	2072
303	902	2065
304	903	2058
305	904	2052
306	906	2045
307	907	2038
308	908	2031
309	909	2025
310	911	2018
311	912	2011
312	913	2004
313	914	1998
314	916	1992
315	917	1985
316	918	1978
317	919	1972
318	920	1965
319	921	1957
320	922	1950
321	923	1944
322	924	1937
323	925	1931
324	929	1931
325	945	1955
326	947	1949
327	948	1942
328	949	1936
329	950	1929
330	961	1943
331	962	1937
332	963	1930
333	965	1925
334	966	1918
335	967	1912
336	968	1905
337	969	1899
338	971	1893
339	972	1887
340	976	1887
341	977	1881
342	978	1875
343	980	1869
344	981	1863
345	982	1858
346	984	1852
347	985	1846
348	986	1840
349	991	1840
350	992	1834
351	993	1828
352	994	1823
353	995	1817
354	997	1811
355	998	1806
356	999	1800
357	1000	1794
358	1001	1788
359	1003	1783
360	1004	1777
361	1021	1799
362	1022	1794
363	1023	1788
364	1024	1782
365	1025	1777
366	1026	1771
367	1036	1779
368	1037	1773
369	1038	1768
370	1039	1762
371	1040	1757
372	1041	1751
373	1043	1745
374	1051	1752
375	1053	1747
376	1067	1763
377	1083	1782
378	1084	1776
379	1098	1791
380	1115	1811
381	1116	1806
382	1117	1800
383	1118	1794
384	1119	1788
385	1120	1782
386	1121	1777
387	1123	1771
388	1124	1765
389	1125	1760
390	1126	1754
391	1127	1749
392	1128	1743
393	1129	1737
394	1131	1732
395	1132	1727
396	1133	1721
397	1134	1716
398	1135	1710
399	1144	1717
400	1145	1711
401	1159	1724
402	1160	1719
403	1162	1714
404	1163	1709
405	1174	1719
406	1176	1713
407	1177	1708
408	1178	1703
409	1179	1697
410	1180	1692
411	1182	1687
412	1190	1692
413	1191	1686
414	1192	1681
415	1193	1676
416	1195	1670
417	1196	1665
418	1197	1660
419	1198	1654
420	1199	1649
421	1200	1644
422	1201	1639
423	1202	1633
424	1203	1628
425	1205	1623
426	1221	1639
427	1222	1634
428	1224	1629
429	1237	1640
430	1238	1635
431	1239	1630
432	1241	1625
433	1242	1620
434	1243	1615
435	1244	1610
436	1246	1605
437	1247	1600
438	1248	1595
439	1252	1594
440	1253	1589
441	1255	1584
442	1256	1579
443	1257	1574
444	1259	1570
445	1260	1565
446	1261	1560
447	1262	1555
448	1268	1556
449	1269	1551
450	1270	1546
451	1271	1541
452	1272	1537
453	1274	1532
454	1275	1527
455	1276	1522
456	1277	1518
457	1279	1513
458	1280	1509
459	1281	1504
460	1282	1499
461	1284	1495
462	1285	1490
463	1286	1485
464	1287	1481
465	1288	1476
466	1289	1472
467	1291	1467
468	1299	1470
469	1299	1465
470	1314	1476
471	1315	1471
472	1316	1467
473	1318	1462
474	1319	1457
475	1320	1453
476	1321	1448
477	1322	1444
478	1323	1439
479	1324	1435
480	1325	1430
481	1327	1426
482	1328	1421
483	1329	1417
484	1330	1413
485	1332	1408
486	1333	1404
487	1334	1399
488	1335	1395
489	1336	1391
490	1345	1394
491	1361	1405
492	1362	1401
493	1363	1397
494	1364	1392
495	1366	1388
496	1367	1383
497	1376	1388
498	1378	1383
499	1379	1379
500	1380	1374
501	1381	1369
502	1382	1365
503	1383	1361
504	1392	1365
505	1393	1360
506	1395	1356
507	1396	1352
508	1397	1348
509	1398	1343
510	1399	1339
511	1401	1335
512	1402	1331
513	1403	1327
514	1405	1323
515	1407	1319
516	1408	1316
517	1410	1312
518	1411	1307
519	1412	1303
520	1413	1299
521	1414	1295
522	1415	1290
523	1416	1286
524	1417	1282
525	1418	1277
526	1422	1276
527	1423	1272
528	1425	1268
529	1426	1264
530	1427	1260
531	1428	1256
532	1429	1252
533	1431	1248
534	1432	1245
535	1434	1241
536	1437	1239
537	1438	1235
538	1452	1242
539	1454	1238
540	1455	1234
541	1456	1230
542	1467	1235
543	1482	1242
544	1483	1238
545	1484	1234
546	1486	1230
547	1497	1235
548	1512	1242
549	1513	1238
550	1514	1234
551	1515	1230
552	1517	1226
553	1518	1222
554	1519	1218
555	1520	1214
556	1521	1210
557	1522	1206
558	1523	1201
559	1524	1197
560	1528	1195
561	1543	1202
562	1544	1198
563	1545	1194
564	1558	1199
565	1573	1206
566	1574	1202
567	1588	1208
568	1589	1204
569	1603	1209
570	1604	1205
571	1619	1211
572	1635	1218
573	1636	1214
574	1638	1211
575	1640	1207
576	1641	1203
577	1643	1199
578	1644	1195
579	1645	1191
580	1647	1187
581	1648	1184
582	1649	1180
583	1651	1176
584	1652	1171
585	1653	1167
586	1654	1163
587	1654	1159
588	1656	1155
589	1657	1151
590	1658	1147
591	1665	1147
592	1666	1144
593	1680	1148
594	1681	1144
595	1683	1140
596	1684	1136
597	1685	1132
598	1695	1134
599	1696	1130
600	1697	1127
601	1710	1130
602	1711	1126
603	1712	1122
604	1713	1118
605	1724	1121
606	1726	1117
607	1727	1113
608	1728	1109
609	1729	1105
610	1730	1101
611	1731	1097
612	1732	1093
613	1733	1089
614	1734	1085
615	1740	1084
616	1741	1080
617	1742	1077
618	1743	1073
619	1744	1069
620	1745	1065
621	1755	1066
622	1756	1062
623	1757	1059
624	1758	1055
625	1759	1051
626	1760	1047
627	1762	1043
628	1770	1044
629	1772	1040
630	1786	1044
631	1787	1041
632	1788	1037
633	1789	1033
634	1791	1029
635	1792	1025
636	1793	1021
637	1802	1022
638	1803	1018
639	1804	1015
640	1805	1011
641	1817	1013
642	1819	1009
643	1833	1013
